ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_NR,Metadata_R_NUMBER,Metadata_STAIN,Metadata_Series,Metadata_T_NUMBER,Metadata_Xcoord,Metadata_Ycoord,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_HE_Nuclei
1,17,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/Cellprofiler/CD34%20LRP%20pipeline%20-%20done/test/AE5.T02-6890.CD34.X4000.Y4000.normalized.tile.tissue.png,0,AE5,nan,CD34,0,T02-6890,X4000,Y4000,1446.6451612903227,700.3870967741935,0,17,81
1,18,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/Cellprofiler/CD34%20LRP%20pipeline%20-%20done/test/AE5.T02-6890.CD34.X4000.Y4000.normalized.tile.tissue.png,0,AE5,nan,CD34,0,T02-6890,X4000,Y4000,1438.1315789473683,716.921052631579,0,18,85
1,19,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/Cellprofiler/CD34%20LRP%20pipeline%20-%20done/test/AE5.T02-6890.CD34.X4000.Y4000.normalized.tile.tissue.png,0,AE5,nan,CD34,0,T02-6890,X4000,Y4000,1375.4222222222222,721.0888888888888,0,19,87
1,20,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/Cellprofiler/CD34%20LRP%20pipeline%20-%20done/test/AE5.T02-6890.CD34.X4000.Y4000.normalized.tile.tissue.png,0,AE5,nan,CD34,0,T02-6890,X4000,Y4000,1349.1509433962265,728.1320754716982,0,20,89
1,21,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/Cellprofiler/CD34%20LRP%20pipeline%20-%20done/test/AE5.T02-6890.CD34.X4000.Y4000.normalized.tile.tissue.png,0,AE5,nan,CD34,0,T02-6890,X4000,Y4000,1336.1707317073171,865.7560975609756,0,21,108
1,22,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/Cellprofiler/CD34%20LRP%20pipeline%20-%20done/test/AE5.T02-6890.CD34.X4000.Y4000.normalized.tile.tissue.png,0,AE5,nan,CD34,0,T02-6890,X4000,Y4000,1412.2857142857142,949.125,0,22,122
1,23,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/Cellprofiler/CD34%20LRP%20pipeline%20-%20done/test/AE5.T02-6890.CD34.X4000.Y4000.normalized.tile.tissue.png,0,AE5,nan,CD34,0,T02-6890,X4000,Y4000,1131.469387755102,1000.3877551020408,0,23,127
1,24,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/Cellprofiler/CD34%20LRP%20pipeline%20-%20done/test/AE5.T02-6890.CD34.X4000.Y4000.normalized.tile.tissue.png,0,AE5,nan,CD34,0,T02-6890,X4000,Y4000,1430.2790697674418,1112.7674418604652,0,24,139
1,25,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/Cellprofiler/CD34%20LRP%20pipeline%20-%20done/test/AE5.T02-6890.CD34.X4000.Y4000.normalized.tile.tissue.png,0,AE5,nan,CD34,0,T02-6890,X4000,Y4000,1392.5833333333333,1158.6666666666667,0,25,145
1,26,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/Cellprofiler/CD34%20LRP%20pipeline%20-%20done/test/AE5.T02-6890.CD34.X4000.Y4000.normalized.tile.tissue.png,0,AE5,nan,CD34,0,T02-6890,X4000,Y4000,1453.9268292682927,1194.0975609756097,0,26,151
